Brand,Ownership Type,Longitude,Latitude
Starbucks,2,-46.65,-23.56
Starbucks,2,-46.67,-23.61
Starbucks,2,-46.64,-23.6
Starbucks,2,-46.66,-23.56
Starbucks,2,-46.58,-23.54
Starbucks,2,-46.6,-23.48
Starbucks,2,-46.66,-23.56
Starbucks,2,-46.69,-23.6
Starbucks,2,-46.62,-23.52
Starbucks,2,-46.65,-23.57
Starbucks,2,-46.68,-23.53
Starbucks,2,-46.72,-23.55
Starbucks,2,-46.71,-23.51
Starbucks,2,-46.58,-23.54
Starbucks,2,-46.64,-23.57
Starbucks,2,-46.65,-23.55
Starbucks,2,-46.89,-23.2
Starbucks,2,-46.64,-23.57
Starbucks,2,-46.47,-23.54
Starbucks,2,-46.61,-23.55
Starbucks,2,-46.66,-23.56
Starbucks,2,-46.66,-23.54
Starbucks,2,-46.68,-23.58
Starbucks,2,-46.7,-23.61
Starbucks,2,-46.72,-23.51
Starbucks,2,-46.56,-23.56
Starbucks,2,-46.66,-23.6
Starbucks,2,-46.65,-23.57
Starbucks,2,-46.65,-23.57
Starbucks,2,-46.7,-23.62
Starbucks,2,-46.65,-23.57
Starbucks,2,-46.64,-23.55
Starbucks,2,-46.67,-23.61
Starbucks,2,-46.7,-23.68
Starbucks,2,-46.7,-23.62
Starbucks,2,-46.65,-23.55
Starbucks,2,-46.7,-23.62
Starbucks,2,-46.69,-23.59
Starbucks,2,-46.72,-23.59
Starbucks,2,-46.66,-23.56
Starbucks,2,-46.69,-23.59
Starbucks,2,-46.59,-23.58
Starbucks,2,-46.68,-23.6
Starbucks,2,-46.7,-23.62
Starbucks,2,-46.68,-23.58
Starbucks,2,-47.46,-23.53
Starbucks,1,-77.45,25.03
Starbucks,1,-77.47,25.07
Starbucks,1,-77.33,25.09
Starbucks,1,-77.33,25.07
Starbucks,1,-77.34,25.08
Starbucks,1,-77.39,25.07
Starbucks,1,-77.46,25.06
Starbucks,1,-77.32,25.09
Starbucks,1,-77.32,25.08
Starbucks,1,-77.32,25.07
Starbucks,2,-113.99,51.27
Starbucks,2,-114,51.27
Starbucks,2,-114.01,51.29
Starbucks,1,-114.01,51.3
Starbucks,2,-114.01,51.3
Starbucks,1,-113.99,51.27
Starbucks,2,-115.57,51.18
Starbucks,1,-115.57,51.18
Starbucks,1,-115.56,51.15
Starbucks,2,-113.42,53.36
Starbucks,1,-111.9,50.57
Starbucks,2,-114.06,51.05
Starbucks,2,-114.07,51.04
Teavana,2,-114.07,51.05
Starbucks,1,-114.07,51.05
Starbucks,2,-114.08,51.05
Starbucks,2,-114.04,51.04
Starbucks,1,-114.12,51.09
Starbucks,1,-114.01,51.13
Starbucks,1,-114.07,50.97
Starbucks,2,-114.07,51.12
Starbucks,1,-114.07,51.1
Starbucks,2,-114,50.95
Starbucks,2,-114.13,51.09
Teavana,2,-114.07,51
Starbucks,2,-114.25,51.12
Starbucks,1,-114.07,50.91
Starbucks,2,-114.07,51.05
Starbucks,2,-114.16,51.16
Teavana,2,-113.98,51.07
Starbucks,2,-114.03,50.93
Starbucks,1,-114.01,51.13
Starbucks,2,-113.96,50.93
Starbucks,1,-114.08,51.04
Starbucks,1,-114.06,51.05
Starbucks,2,-114.08,51.05
Starbucks,2,-114.06,51.05
Starbucks,2,-114.07,50.88
Starbucks,2,-114.21,51.06
Starbucks,2,-114.07,51.05
Starbucks,1,-113.95,51.12
Starbucks,2,-114.04,50.88
Starbucks,1,-114.17,51.04
Starbucks,1,-114.01,51.12
Starbucks,2,-114.2,51.13
Starbucks,1,-113.98,51.05
Starbucks,2,-114.07,50.96
Starbucks,2,-114.07,51.05
Starbucks,2,-114.17,51.01
Starbucks,2,-114.06,51.06
Starbucks,2,-114.06,51.16
Starbucks,2,-114.08,51.01
Starbucks,2,-114.1,50.97
Starbucks,1,-114.06,51.07
Starbucks,2,-114.04,51.05
Starbucks,1,-114.1,51.06
Starbucks,1,-114.01,51.13
Starbucks,2,-114.14,51.1
Starbucks,2,-114.09,51.05
Starbucks,1,-113.96,50.93
Starbucks,1,-114.06,50.95
Starbucks,2,-114.07,51.05
Starbucks,1,-114.01,50.98
Starbucks,2,-114.1,51.03
Starbucks,2,-113.91,51.04
Starbucks,2,-114.07,50.91
Starbucks,2,-114.07,51.03
Starbucks,1,-114.01,51.13
Starbucks,1,-114.01,51.13
Starbucks,2,-114.06,50.9
Starbucks,2,-114.07,50.97
Starbucks,2,-114.14,51.01
Starbucks,2,-114.08,50.99
Starbucks,2,-113.98,51.08
